Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère,Modélisation de la dispersion atmosphérique
 BFG Canada Ltd. , 120 Armstrong Avenue , 120 Armstrong Avenue , Halton Hills , Miscellaneous Industrial , Halton-Peel , AMMONIA  , Legislation Non-Compliance ,01/01/2022,12/31/2022,100,µg/m³,24hr,1,237,237,other, Voluntary Abatement Program Underway , Based on Air Dispersion Modeling  
2775980 Ontario Inc,BITUS PET CREMATION SERVICES,"2500 WILLIAMS PKY, UNIT 34, MISSISSAUGA, ON L6S 5M9",MISSISSAUGA, Miscellaneous Industrial ,Halton-Peel,Suspended Particulate Matter,Approval / Permit Non-Compliance,11/08/2022,11/08/2022,20,mg/m³,avg of 3 consecutive samples,1,140,140,Additional Monitoring Underway,Assessment Underway,
CRH CANADA GROUP INC.,Mississauga Cement Plant (Ash Grove),2391 Lakeshore Rd W,Mississauga, Miscellaneous Industrial ,Halton-Peel,OPACITY,Approval / Permit Non-Compliance,03/13/2022,03/13/2022,20,%,6 min avg,1,20.5,23,None required,Assessment Complete - No Action Required,
Emerald Energy from Waste Inc.,Emerald Energy from Waste,7656 Bramalea Rd,Brampton, Miscellaneous Industrial ,Halton-Peel,TEMPERATURE,Approval / Permit Non-Compliance,03/02/2022,03/02/2022,1000,°C,30min avg,1,975,975,other,Assessment Complete - Incident Resolved,
Emerald Energy from Waste Inc.,Emerald Energy from Waste,7656 Bramalea Rd,Brampton, Miscellaneous Industrial ,Halton-Peel,TEMPERATURE,Approval / Permit Non-Compliance,05/27/2022,05/27/2022,1000,°C,30min avg,1,996,996,other,Assessment Complete - Incident Resolved,
Emerald Energy from Waste Inc.,Emerald Energy from Waste,7656 Bramalea Rd,Brampton, Miscellaneous Industrial ,Halton-Peel,TEMPERATURE,Approval / Permit Non-Compliance,06/21/2022,06/21/2022,1000,°C,30min avg,1,993,993,other,Assessment Complete - Incident Resolved,
Emerald Energy from Waste Inc.,Emerald Energy from Waste,7656 Bramalea Rd,Brampton, Miscellaneous Industrial ,Halton-Peel,TEMPERATURE,Approval / Permit Non-Compliance,07/08/2022,07/08/2022,1000,°C,30min avg,1,990,990,other,Assessment Complete - Incident Resolved,
Emerald Energy from Waste Inc.,Emerald Energy from Waste,7656 Bramalea Rd,Brampton, Miscellaneous Industrial ,Halton-Peel,TEMPERATURE,Approval / Permit Non-Compliance,08/08/2022,08/08/2022,1000,°C,30min avg,1,982,982,other,Assessment Complete - Incident Resolved,
Emerald Energy from Waste Inc.,Emerald Energy from Waste,7656 Bramalea Rd,Brampton, Miscellaneous Industrial ,Halton-Peel,TEMPERATURE,Approval / Permit Non-Compliance,08/30/2022,08/30/2022,1000,°C,30min avg,1,995,995,other,Assessment Complete - Incident Resolved,
MAPLE LEAF FOODS INC,Maple Leaf Foods Inc. - Brampton facility,"97 WALKER DR, BRAMPTON, ON L6T 4Z3",BRAMPTON, Miscellaneous Industrial ,Halton-Peel,NITROGEN OXIDES,Legislation Non-Compliance,01/01/2022,12/31/2022,400, µg/m³,Peak Hourly Flow Rate,1,643.6,643.6,Action Plan Submitted,Voluntary Abatement Program Underway, Based on Air Dispersion Modeling  
