Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère,Modélisation de la dispersion atmosphérique
Real Alloy Canada Ltd.,7496 Torbram Road,7496 Torbram Road,Mississauga,Metal Casting,Halton-Peel,DIOXIN AND FURAN, Legislation Non-Compliance ,01/01/2022,12/31/2022,0.1,TEQ/m³,24hr,1,0.17,0.17,Action Plan Submitted - Implementing Improvements, Voluntary Abatement Program Underway , Based on Air Dispersion Modeling  
"STERICYCLE, ULC","Stericycle, ULC","95 DEERHURST DR, BRAMPTON, ON L6T 5R7",BRAMPTON,Miscellaneous Industrial,Halton-Peel,CARBON MONOXIDE,Approval / Permit Non-Compliance,01/01/2022,03/31/2022,9,mg/m³,rolling avg,8,9.2,26,Equipment Modified/Repaired,Addressed w/o Intervention,
"STERICYCLE, ULC","Stericycle, ULC","95 DEERHURST DR, BRAMPTON, ON L6T 5R7",BRAMPTON,Miscellaneous Industrial,Halton-Peel,NITROGEN OXIDES,Approval / Permit Non-Compliance,01/01/2022,03/31/2022,187,mg/m³,rolling avg,1,191,191,Equipment Modified/Repaired,Addressed w/o Intervention,
"STERICYCLE, ULC","Stericycle, ULC","95 DEERHURST DR, BRAMPTON, ON L6T 5R7",BRAMPTON,Miscellaneous Industrial,Halton-Peel,CARBON MONOXIDE,Approval / Permit Non-Compliance,04/01/2022,06/30/2022,9, mg/m³,rolling avg,15,9.3,229.3,Equipment Modified/Repaired,Addressed w/o Intervention,
"STERICYCLE, ULC","Stericycle, ULC","95 DEERHURST DR, BRAMPTON, ON L6T 5R7",BRAMPTON,Miscellaneous Industrial,Halton-Peel,CARBON MONOXIDE,Approval / Permit Non-Compliance,07/01/2022,09/30/2022,9, mg/m³,rolling avg,5,9.2,32.5,Equipment Modified/Repaired,Addressed w/o Intervention,
"STERICYCLE, ULC","Stericycle, ULC","95 DEERHURST DR, BRAMPTON, ON L6T 5R7",BRAMPTON,Miscellaneous Industrial,Halton-Peel,CARBON MONOXIDE,Approval / Permit Non-Compliance,10/01/2022,12/31/2022,9, mg/m³,rolling avg,7,9.7,24.5,Equipment Modified/Repaired,Addressed w/o Intervention,
TERRAPURE BR LIMITED,"Terrapure Environmental, Tonolli Canada Ltd.","1333 TONOLLI RD, MISSISSAUGA, on, l4y 4c2",MISSISSAUGA,Miscellaneous Industrial,Halton-Peel,SULPHUR DIOXIDE,Approval / Permit Non-Compliance,01/01/2022,12/31/2022,690,mg/m³,/ hr,1,1055,1055,Equipment Modified/Repaired,Voluntary Abatement Program Underway,
Owens Corning Insulating Systems Canada GP Inc,Owens Corning Insulating Systems Canada GP Inc.,3450 McNicoll Ave,Toronto,Miscellaneous Industrial,Toronto,CHROMIUM,Approval / Permit Non-Compliance,01/01/2022,12/31/2022,0.00014,µg/m³,annual avg,1,0.00278,0.00278,other,"Assessment Underway, Voluntary Abatement Program Underway", Based on Air Dispersion Modeling  
Lehigh Hanson Materials Limited/Materiaux Lehigh Hanson Limitee,Lehigh Cement,1370 Hwy 49 Picton,Prince Edward,Industrial Minerals,Belleville,OPACITY,Legislation Non-Compliance,01/10/2022,12/10/2022,20,%,6 min avg,34,21.2,86.1,Additional Monitoring Underway,Assessment Underway,
AEVITAS,Aevitas Inc (2425 Industrial Park),2425 INDUSTRIAL PARK DR,Cornwall,Miscellaneous Industrial,Cornwall,CARBON MONOXIDE,Approval / Permit Non-Compliance,12/16/2022,12/16/2022,15, ppm,10 min avg,2,112.6,113.4,Training Procedure Change,Event Resolved,
"HEICO 2004 MEMBER, INC.",Ivaco Rolling Mills,1040 COUNTY RD 17,CHAMPLAIN,Miscellaneous Industrial,Cornwall,MANGANESE,Legislation Non-Compliance,01/01/2022,12/01/2022,0.4, µg/m³,24 hr avg,1,1,1,Action Plan Submitted,Tech. Standard in Development, Based on Air Dispersion Modeling  
Lafarge Canada Inc.,Bath Cement Plant,6501 Bath Rd Hwy 33,Loyalist,Industrial Minerals,Kingston,OPACITY,Legislation Non-Compliance,05/02/2022,05/02/2022,20,%,6 min avg,2,23.1,23.1,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No Action Required,
Lafarge Canada Inc.,Bath Cement Plant,6501 Bath Rd Hwy 33,Loyalist,Industrial Minerals,Kingston,OPACITY,Legislation Non-Compliance,05/16/2022,05/16/2022,20,%,6 min avg,2,24.7,24.7,Operational Process Modification,Assessment Complete - No Action Required,
Lafarge Canada Inc.,Bath Cement Plant,6501 Bath Rd Hwy 33,Loyalist,Industrial Minerals,Kingston,OPACITY,Legislation Non-Compliance,06/09/2022,06/09/2022,20, %,6 min avg,1,22.2,22.2,None Required,Assessment Complete - No Action Required,
Lafarge Canada Inc.,Bath Cement Plant,6501 Bath Rd Hwy 33,Loyalist,Industrial Minerals,Kingston,OPACITY,Legislation Non-Compliance,06/21/2022,06/21/2022,20,%,6 min avg,1,28.3,28.3,"Additional Monitoring Underway, Equipment Modified - Repaired - Replaced or Re-calibrated",Assessment Complete - No Action Required,
Lafarge Canada Inc.,Bath Cement Plant,6501 Bath Rd Hwy 33,Loyalist,Industrial Minerals,Kingston,OPACITY,Legislation Non-Compliance,07/12/2022,07/12/2022,20,%,6 min avg,2,28.3,28.3,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No Action Required,
Lafarge Canada Inc.,Bath Cement Plant,6501 Bath Rd Hwy 33,Loyalist,Industrial Minerals,Kingston,OPACITY,Legislation Non-Compliance,09/25/2022,09/25/2022,20,%,6 min avg,1,22.9,22.9,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No Action Required,
Ontario Power Generation Inc.,Lennox Generating Station,7263 Highway 33,Greater Napanee,Electric Power Generation,Kingston,OPACITY,Legislation Non-Compliance,05/11/2022,05/11/2022,20, %,6 min avg,1,60,60,Ceased Operations,Assessment Complete - No Action Required,
KERRY CANADA - RENFREW,Kerry Canada - Renfrew,"1 INNOVATION DR, RENFREW, ON K7V 0B5",Renfrew,Miscellaneous Industrial,Ottawa,Suspended Particulate Matter,Legislation Non-Compliance,09/27/2022,12/31/2022,120, µg/m³,24hr,96,145,204,Action Plan Submitted,Assessment Underway,
Domtar Inc.,Domtar Inc - Dryden Mill,1 Duke St,Dryden,Pulp and Paper,Kenora,OPACITY,Legislation Non-Compliance,04/10/2022,05/10/2022,20, %,6 min avg,1,21.1,21.1,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
Domtar Inc.,Domtar Inc - Dryden Mill,1 Duke St,Dryden,Pulp and Paper,Kenora,TOTAL REDUCED SULPHUR,Technical Non-Compliance,04/19/2022,04/19/2022,27,ppb,10 min avg,1,45,45,None Required,Assessment Underway,
DOMTAR INC.,Domtar Inc - Dryden Mill,1 Duke St,Dryden,Pulp and Paper,Kenora,TOTAL REDUCED SULPHUR,Approval / Permit Non-Compliance,07/14/2022,07/14/2022,27,ppb,10 min avg,1,29.8,29.8,Conducting Study,Assessment Underway,
DOMTAR INC.,Domtar Inc - Dryden Mill,1 Duke St,Dryden,Pulp and Paper,Kenora,TOTAL REDUCED SULPHUR,Approval / Permit Non-Compliance,07/27/2022,07/27/2022,27,ppb,10 min avg,1,34.51,34.51,Conducting Study,Assessment Underway,
DOMTAR INC.,Domtar Inc - Dryden Mill,1 Duke St,Dryden,Pulp and Paper,Kenora,TOTAL REDUCED SULPHUR,Approval / Permit Non-Compliance,07/29/2022,07/29/2022,27,ppb,10 min avg,1,29.71,29.71,Conducting Study,Voluntary Abatement Program Underway,
DOMTAR INC.,Domtar Inc - Dryden Mill,1 Duke St,Dryden,Pulp and Paper,Kenora,OPACITY,Approval / Permit Non-Compliance,10/06/2022,10/06/2022,40, %,6 min avg,2,49.77,55.2,Equipment Modified/Repaired,Event Resolved,
DOMTAR INC.,Domtar Inc - Dryden Mill,1 Duke St,Dryden,Pulp and Paper,Kenora,TOTAL REDUCED SULPHUR,Approval / Permit Non-Compliance,10/19/2022,10/19/2022,27, ppb,10 min avg,5,27.24,38.26,Conducting Study,Assessment Underway,
RESOLUTE FOREST PRODUCTS,Resolute Ignace Sawmill,1000 MILL RD,IGNACE,Miscellaneous Industrial,Kenora,CARBON MONOXIDE,Approval / Permit Non-Compliance,03/25/2022,03/25/2022,400,ppm,24 hr avg,1,878,878,Other,Addressed w/o Intervention,
RESOLUTE FOREST PRODUCTS,Resolute Ignace Sawmill,1000 MILL RD,IGNACE,Miscellaneous Industrial,Kenora,CARBON MONOXIDE,Approval / Permit Non-Compliance,03/27/2022,03/27/2022,400,ppm,24 hr avg,1,"1,091","1,091",Other,Addressed w/o Intervention,
RESOLUTE FOREST PRODUCTS,Resolute Ignace Sawmill,1000 MILL RD,IGNACE,Miscellaneous Industrial,Kenora,CARBON MONOXIDE,Approval / Permit Non-Compliance,05/07/2022,05/07/2022,400,ppm,24 hr avg,1,599,599,Other,Addressed w/o Intervention,
INTERFOR,Elk Lake Mill,"1 SIXTH ST, ELK LAKE, JAMES, ON ",JAMES,Miscellaneous Industrial,North Bay,Suspended Particulate Matter,Approval / Permit Non-Compliance,04/05/2022,04/06/2022,120,mg/m³,avg of 3 consecutive samples,1,168.5,168.5,Action Plan Submitted,Voluntary Abatement Program Underway,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,01/01/2022,01/31/2022,20, %,6 min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,02/01/2022,02/28/2022,20, %,6 min avg,28,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,03/01/2022,03/31/2022,20, %,6 min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,04/01/2022,04/30/2022,20, %,6 min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,05/01/2022,05/31/2022,20, %,6 min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,06/01/2022,06/30/2022,20, %,6 min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,07/01/2022,07/31/2022,20, %,6 min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,08/01/2022,08/31/2022,20, %,6 min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Other Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,09/01/2022,09/30/2022,20, %,6 min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,10/01/2022,10/31/2022,20, %,6 min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Approval / Permit Non-Compliance,11/01/2022,11/30/2022,20, %,6 min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Other Action Taken,
Algoma Steel Inc.,Algoma Steel Inc,105 West St,SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,12/01/2022,12/31/2022,20, %,6 min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway; Other Abatement Action Taken,
DOMTAR PULP AND PAPER PRODUCTS INC.,Domtar Espanola,1 STATION RD,ESPANOLA,Miscellaneous Industrial,Sudbury,Dustfall,Legislation Non-Compliance,04/01/2022,04/30/2022,7,g/m²,/mon,1,9,9,Other,Voluntary Abatement Program Underway,
GLENCORE CANADA CORPORATION,Glencore Smelter,"1 Longyear Drive, Falconbridge District of Sudbury",GREATER SUDBURY,Metal Mining and Refining,Sudbury,OPACITY,Legislation Non-Compliance,04/18/2022,09/23/2022,20, %,6 min avg,8,40.099,44,Operational Process Modified,Voluntary Abatement Program Underway,
VALE CANADA LIMITED,Copper Cliff Smelter Complex,"LOT:11, CONCESSION:2, GEOTOWNSHIP:MCKIM, GREATER SUDBURY, ON P0M 1N0",GREATER SUDBURY,Metal Mining and Refining,Sudbury,Suspended Particulate Matter,Policy/Guidance/ Non-Conf.,04/05/2022,04/05/2022,120, µg/m³,24hr,1,132,132,Action Plan Submitted,Voluntary Abatement Program Underway,
VALE CANADA LIMITED,Copper Cliff Smelter Complex,"LOT:11, CONCESSION:2, GEOTOWNSHIP:MCKIM, GREATER SUDBURY, ON P0M 1N0",GREATER SUDBURY,Metal Mining and Refining,Sudbury,Suspended Particulate Matter,Policy/Guidance/ Non-Conf.,04/29/2022,04/29/2022,120, µg/m³,24hr,1,146,146,Action Plan Submitted,Voluntary Abatement Program Underway,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,02/07/2022,02/07/2022,20, %,6 min avg,1,30.6,30.6,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No Action Required,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,02/16/2022,02/16/2022,20, %,6 min avg,1,23.7,23.7,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,02/16/2022,02/16/2022,20, %,6 min avg,1,78.7,78.7,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,02/16/2022,02/16/2022,20, %,6 min avg,1,34.7,34.7,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Legislation Non-Compliance,03/09/2022,03/09/2022,20, %,6 min avg,2,49,49,Other,Assessment Complete - Incident Resolved,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,TOTAL REDUCED SULPHUR,Approval / Permit Non-Compliance; Legislation Non-Compliance; Site Specific Standard,03/15/2022,08/17/2022,27,ppb,10 min avg,5,28,42,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken; Voluntary Abatement Program Underway,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,TOTAL REDUCED SULPHUR,Approval / Permit Non-Compliance; Legislation Non-Compliance; Site Specific Standard,03/15/2022,08/17/2022,27,ppb,10 min avg,11,28,47,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Conducting Study; Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken; Voluntary Abatement Program Underway,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Approval / Permit Non-Compliance; Legislation Non-Compliance,05/26/2022,12/25/2022,20, %,6 min avg,40,40,96,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification,Other Abatement Action Taken; Voluntary Abatement Program Underway,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Legislation Non-Compliance,06/05/2022,06/05/2022,20, %,6 min avg,3,34,64,Operational Process Modification,Voluntary Abatement Program Underway,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Legislation Non-Compliance,06/17/2022,06/17/2022,20, %,6 min avg,23,34,64.3,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Legislation Non-Compliance,11/23/2022,11/23/2022,20, %,6 min avg,3,30.3,30.3,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
AV Terrace Bay Inc.,Terrace Bay Mill,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Legislation Non-Compliance,11/24/2022,11/24/2022,20, %,6 min avg,5,52.7,52.7,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
RESOLUTE FOREST PRODUCTS,Thunder Bay Sawmill,156 DARREL AVE,THUNDER BAY,Pulp and Paper,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,04/06/2022,04/07/2022,20, %,6 min avg,2,24.8,24.8,Conducting Study,Voluntary Abatement Program Underway,
RESOLUTE FOREST PRODUCTS,Thunder Bay Sawmill,156 DARREL AVE,THUNDER BAY,Miscellaneous Industrial,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,04/23/2022,04/24/2022,20,%,6 min avg,1,27.3,27.3,Conducting Study,Assessment Underway,
RESOLUTE FOREST PRODUCTS,Thunder Bay Sawmill,156 DARREL AVE,THUNDER BAY,Miscellaneous Industrial,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,05/13/2022,05/13/2022,20,%,6 min avg,1,40.9,40.9,Conducting Study,Assessment Underway,
RESOLUTE FOREST PRODUCTS,Thunder Bay Sawmill,156 DARREL AVE,THUNDER BAY,Miscellaneous Industrial,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,06/19/2022,06/19/2022,20, %,6 min avg,1,71,79.8,Conducting Study,Assessment Underway,
RESOLUTE FOREST PRODUCTS,Thunder Bay Sawmill,156 DARREL AVE,THUNDER BAY,Miscellaneous Industrial,Thunder Bay,OPACITY,Approval / Permit Non-Compliance,12/25/2022,12/25/2022,20,%,6 min avg,1,95,95,Conducting Study,Voluntary Abatement Program Underway,
Resolute FP Canada Inc.,Thunder Bay Mill,2001 Neebing Ave,THUNDER BAY,Pulp and Paper,Thunder Bay,OPACITY,Legislation Non-Compliance,05/24/2022,05/24/2022,20, %,6 min avg,1,20.1,100,Ceased Operations; Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved; Assessment Complete - No Action Required,
Resolute FP Canada Inc.,Thunder Bay Mill,2001 Neebing Ave,THUNDER BAY,Pulp and Paper,Thunder Bay,OPACITY,Legislation Non-Compliance,11/12/2022,11/12/2022,20, %,6 min avg,1,20.1,100,Ceased Operations; Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
Resolute FP Canada Inc.,Thunder Bay Mill,2001 Neebing Ave,THUNDER BAY,Pulp and Paper,Thunder Bay,OPACITY,Legislation Non-Compliance,12/03/2022,12/03/2022,20, %,6 min avg,1,20.1,100,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
GreenFirst Forest Products (QC) Inc.,Kapuskasing Operations,1 Government Rd,Kapuskasing,Pulp and Paper,Timmins,OPACITY,Legislation Non-Compliance,03/08/2022,03/08/2022,20, %,6 min avg,2,34,34,None Required,Assessment Complete - Incident Resolved,
GreenFirst Forest Products (QC) Inc.,Kapuskasing Operations,1 Government Rd,KAPUSKASING,Pulp and Paper,Timmins,OPACITY,Legislation Non-Compliance,04/17/2022,04/17/2022,20, %,6 min avg,2,24,25,Ceased Operations,Addressed w/o Intervention,
GreenFirst Forest Products (QC) Inc.,Kapuskasing Operations,1 Government Rd,Kapuskasing,Pulp and Paper,Timmins,OPACITY,Legislation Non-Compliance,12/15/2022,12/15/2022,20, %,6 min avg,5,29,36,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No Action Required,
GreenFirst Forest Products (QC) Inc.,Kapuskasing Operations,1 Government Rd,Kapuskasing,Pulp and Paper,Timmins,OPACITY,Legislation Non-Compliance,12/17/2022,12/17/2022,20, %,6 min avg,2,26,26,Operational Process Modification,Assessment Complete - No Action Required,
Kirkland Lake Gold Inc.,Macassa Mine Site,1350 Government Rd W,Kirkland Lake,Metal Mining and Refining,Timmins,SUSPENDED PARTICULATE MATTER,Approval / Permit Non-Compliance,05/11/2022,05/11/2022,50,µg/m³, /d,1,125,125,None Required,Assessment Complete - No Action Required,
Kirkland Lake Gold Inc.,Macassa Mine Site,1350 Government Rd W,Kirkland Lake,Metal Mining and Refining,Timmins,SUSPENDED PARTICULATE MATTER,Approval / Permit Non-Compliance,06/01/2022,06/30/2022,7,g/m², /mon,2,2,10,None Required,Assessment Complete - No Action Required,
Kirkland Lake Gold Inc.,Macassa Mine Site,1350 Government Rd W,Kirkland Lake,Metal Mining and Refining,Timmins,SUSPENDED PARTICULATE MATTER,Legislation Non-Compliance,09/01/2022,09/30/2022,7,g/m², /mon,1,8.5,8.5,None Required,Assessment Complete - No Action Required,
NEWMONT GOLDCORP,Hollinger Mine,4315 Gold Mine Rd,Timmins,Metal Mining and Refining,Timmins,NOISE,Approval / Permit Non-Compliance,12/04/2022,12/04/2022,128,dBA,any,1,128.6,128.6,Operational Process Modification,Assessment Complete - Incident Resolved; Assessment Complete - No Action Required,
GreenFirst Forest Products (QC) Inc.,Kapuskasing Operations,1 Government Rd,KAPUSKASING,Pulp and Paper,Timmins,OPACITY,Legislation Non-Compliance,03/20/2022,03/20/2022,20, %,6 min avg,6,31,89,Equipment Modified/Repaired,Addressed w/o Intervention,
GreenFirst Forest Products (QC) Inc.,Kapuskasing Operations,1 Government Rd,KAPUSKASING,Pulp and Paper,Timmins,OPACITY,Legislation Non-Compliance,10/11/2022,10/11/2022,20,%,6 min avg,1,41,41,Equipment Modified/Repaired,Addressed w/o Intervention,
IMPERIAL OIL LIMITED,Imperial Oil Sarnia Refinery,602 CHRISTINA ST S,SARNIA,Petroleum Refining,Sarnia,SULPHUR DIOXIDE,Legislation Non-Compliance,04/11/2022,04/12/2022,225,kg,24hr rolling sum,25,475,1299,Operational Process Modified,Director's Order Issued,
SHELL CANADA PRODUCTS,Shell Sarnia Manufacturing Centre,"150 ST. CLAIR PKY, ST. CLAIR, ON N0N 1J0",ST. CLAIR,Petroleum Refining,Sarnia,SULPHUR DIOXIDE,Legislation Non-Compliance,07/25/2022,07/25/2022,225,kg,24hr rolling sum,19,1706,25240,Action Plan Submitted,Director's Order Issued, Based on Air Dispersion Modeling  
