Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère,Modélisation de la dispersion atmosphérique
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-01-01,2021-01-31,20,%,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-02-01,2021-02-28,20, %,6min avg,28,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-03-01,2021-03-31,20, %,6min avg,31,31,100,Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; New/Amended Approval; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-04-01,2021-06-30,20, %,6min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-05-01,2021-05-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-06-01,2021-06-30,20, %,6min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-07-01,2021-07-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-08-01,2021-08-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-09-01,2021-09-30,20, %,6min avg,30,30,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2021-10-01,2021-10-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Other Abatement Action Taken,
