Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,ECA/CofA/Permit Non-Compliance,2021-04-01,2021-04-30,7,mg/L,mon avg,1,11,11,New Equipment or Treatment Process Installed,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,"PHOSPHORUS, TOTAL",ECA/CofA/Permit Non-Compliance,2021-04-01,2021-04-30,0.04,mg/L,mon avg,1,0.33,0.33,New Equipment or Treatment Process Installed,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,TOTAL AMMONIA NITROGEN,ECA/CofA/Permit Non-Compliance,2021-04-01,2021-04-30,1,mg/L,mon avg,1,2.5,2.5,New Equipment or Treatment Process Installed,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,TOTAL SUSPENDED SOLIDS,ECA/CofA/Permit Non-Compliance,2021-04-01,2021-04-30,7,mg/L,mon avg,1,22,22,New Equipment or Treatment Process Installed,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,ECA/CofA/Permit Non-Compliance,2021-05-01,2021-05-31,7,mg/L,mon avg,1,25,25,Action Plan Submitted - Implementing Improvements,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,ESCHERICHIA COLI,ECA/CofA/Permit Non-Compliance,2021-05-01,2021-05-31,100,CT/100mL,mon avg. on a geo. mean density,1,1100,1100,Action Plan Submitted - Implementing Improvements,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,"PHOSPHORUS, TOTAL",ECA/CofA/Permit Non-Compliance,2021-05-01,2021-05-31,0.04,mg/L,mon avg,1,0.91,0.91,Action Plan Submitted - Implementing Improvements,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,TOTAL AMMONIA NITROGEN,ECA/CofA/Permit Non-Compliance,2021-05-01,2021-05-31,1,mg/L,mon avg,1,16.5,16.5,Action Plan Submitted - Implementing Improvements,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,TOTAL SUSPENDED SOLIDS,ECA/CofA/Permit Non-Compliance,2021-05-01,2021-05-31,7,mg/L,mon avg,1,28,28,Action Plan Submitted - Implementing Improvements,Voluntary Abatement Program Underway
2039882 Ontario Limited,Shelter Cove,38 Cheapside Rd City of Nanticoke,Haldimand,Miscellaneous Communal,Hamilton,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,ECA/CofA/Permit Non-Compliance,2021-06-01,2021-06-30,7,mg/L,mon avg,1,9,9,Action Plan Submitted - Implementing Improvements,Voluntary Abatement Program Underway
