Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-04-01,2020-04-30,200,CT/100 mL,mon avg. on a geo. mean density,1,7118,7118,New Equipment or Treatment Process Installed,Other Abatement Action Taken
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,2020-04-01,2020-04-30,1,mg/L,mon avg,1,1.5,1.5,New Equipment or Treatment Process Installed,Other Abatement Action Taken
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,"SUSPENDED SOLIDS, TOTAL",Approval / Permit Non-Compliance,2020-04-01,2020-04-30,10,mg/L,mon avg,1,233,233,New Equipment or Treatment Process Installed; Other,Other Abatement Action Taken
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-07-01,2020-07-31,200,CT/100 mL,mon avg. on a geo. mean density,1,249,249,New Equipment or Treatment Process Installed,Other Abatement Action Taken
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-08-01,2020-08-31,3,mg/L,mon avg,1,4.1,4.1,New Equipment or Treatment Process Installed,Other Abatement Action Taken
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-10-01,2020-10-31,5,mg/L,mon avg,1,10.2,10.2,New Equipment or Treatment Process Installed,Other Abatement Action Taken
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-11-01,2020-11-30,200,CT/100 mL,mon avg. on a geo. mean density,1,1437,1437,New Equipment or Treatment Process Installed,Other Abatement Action Taken
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,ESCHERICHIA COLI,Approval / Permit Non-Compliance,2020-12-01,2020-12-31,200,CT/100 mL,mon avg. on a geo. mean density,1,447,447,New Equipment or Treatment Process Installed,Other Abatement Action Taken
HMS Host,HMS Host,401 West Bound at Ingersoll,South-West Oxford,Miscellaneous Communal,London,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-12-01,2020-12-31,5,mg/L,mon avg,1,8.6,8.6,New Equipment or Treatment Process Installed,Other Abatement Action Taken
Innservices Utilities Inc.,Cookstown WPCP,1315 Victoria St,Innisfil,Municipal Sewage,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,2020-04-01,2020-04-30,4,mg/L,mon avg,1,5,5,Additional Monitoring Underway; Conducting Study; Operational Process Modification; Training/Procedure Change,Assessment Complete - Incident Resolved
