Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
Bigwin Island Golf Club,Bigwin Island Golf Club,1137 - 2 Old Highway 117,Lake of Bays,Miscellaneous Communal,Barrie,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,05/01/2022,05/31/2022,10,mg/L,mon avg,1,11,11,Additional Monitoring Underway,Assessment Underway
Bigwin Island Golf Club,Bigwin Island Golf Club,1137 - 2 Old Highway 117,Lake of Bays,Miscellaneous Communal,Barrie,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,06/01/2022,06/30/2022,10,mg/L,mon avg,1,38,38,Additional Monitoring Underway,Assessment Underway
Bigwin Island Golf Club,Bigwin Island Golf Club,1137 - 2 Old Highway 117,Lake of Bays,Miscellaneous Communal,Barrie,TOTAL SUSPENDED SOLIDS,Approval / Permit Non-Compliance,06/01/2022,06/30/2022,10,mg/L,mon avg,1,16,16,Additional Monitoring Underway,Assessment Underway
Bigwin Island Golf Club,Bigwin Island Golf Club,1137 - 2 Old Highway 117,Lake of Bays,Miscellaneous Communal,Barrie,TOTAL SUSPENDED SOLIDS,Approval / Permit Non-Compliance,07/01/2022,07/31/2022,10,mg/L,mon avg,1,11.5,11.5,Additional Monitoring Underway,Assessment Underway
Bigwin Island Golf Club,Bigwin Island Golf Club,1137 - 2 Old Highway 117,Lake of Bays,Miscellaneous Communal,Barrie,TOTAL SUSPENDED SOLIDS,Approval / Permit Non-Compliance,08/01/2022,08/31/2022,10,mg/L,mon avg,1,23.2,23.2,Additional Monitoring Underway,Assessment Underway
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,ESCHERICHIA COLI,Approval / Permit Non-Compliance,03/01/2022,03/31/2022,200,CT/100mL,mon avg. on a geo. mean density,1,611,611,Equipment Modified/Repaired,Event Resolved
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,03/01/2022,03/31/2022,10,mg/L,mon avg,1,290.2,290.2,Equipment Modified/Repaired,Event Resolved
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,TOTAL SUSPENDED SOLIDS,Approval / Permit Non-Compliance,03/01/2022,03/31/2022,10,mg/L,mon avg,1,18.6,18.6,Equipment Modified/Repaired,Voluntary Abatement Program Underway
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,03/01/2022,03/31/2022,0.28,kg/d,mon avg,1,0.32,0.32,Equipment Modified/Repaired,Event Resolved
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,03/01/2022,03/31/2022,14,kg/d,mon avg,1,68.7,68.7,Equipment Modified/Repaired,Event Resolved
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,03/01/2022,03/31/2022,0.2,mg/L,mon avg,1,1.29,1.29,Equipment Modified/Repaired,Voluntary Abatement Program Underway
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,04/01/2022,04/30/2022,0.2,mg/L,mon avg,1,0.55,0.55,Conducting Study,Voluntary Abatement Program Underway
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,06/01/2022,06/30/2022,2,mg/L,mon avg,1,4,4,Training Procedure Change,Event Resolved
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,07/01/2022,07/31/2022,2,mg/L,mon avg,1,6.33,6.33,Training Procedure Change,Voluntary Abatement Program Underway
CLEARVIEW,Creemore Water Pollution Control Plant,"83 MARY ST, CREEMORE",Clearview,Municipal Sewage,Barrie,TOTAL AMMONIA NITROGEN,Approval / Permit Non-Compliance,12/01/2022,12/31/2022,4,mg/L,mon avg,1,6.15,6.15,New Equipment Installed,Voluntary Abatement Program Underway
CLEARVIEW,Stayner Water Pollution Control Plant,"300 MOWAT ST N, CLEARVIEW",Clearview,Municipal Sewage,Barrie,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,03/01/2022,03/31/2022,10,mg/L,mon avg,1,10.8,10.8,Operational Process Modified,Voluntary Abatement Program Underway
