Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère,Modélisation de la dispersion atmosphérique
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-01-01,2020-01-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-02-01,2020-02-29,20, %,6min avg,29,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-03-01,2020-03-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-04-01,2020-04-30,20, %,6min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-05-01,2020-05-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-06-01,2020-06-30,20, %,6min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-07-01,2020-07-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-08-01,2020-08-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-09-01,2020-09-30,20, %,6min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-10-01,2020-10-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-11-01,2020-11-30,20, %,6min avg,30,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
Algoma Steel Inc.,Algoma Steel Inc. - 105 West Street,105 West St,Sault Ste. Marie,Iron and Steel,Sault Ste. Marie,OPACITY,Legislation Non-Compliance,2020-12-01,2020-12-31,20, %,6min avg,31,21,100,Equipment Modified - Repaired - Replaced or Re-calibrated; Operational Process Modification; Other,Assessment Underway; Other Abatement Action Taken,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-01-01,2020-01-31,20, %,6min avg,31,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-02-01,2020-02-29,20, %,6min avg,29,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-03-01,2020-03-31,20, %,6min avg,31,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-04-01,2020-04-30,20, %,6min avg,30,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-05-01,2020-05-31,20, %,6min avg,31,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-06-01,2020-06-30,20, %,6min avg,30,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-07-01,2020-07-31,20, %,6min avg,31,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-08-01,2020-08-31,20, %,6min avg,31,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-09-01,2020-09-30,20, %,6min avg,29,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-10-01,2020-10-31,20, %,6min avg,31,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-11-01,2020-11-30,20, %,6min avg,30,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
ArcelorMittal Dofasco MP Inc. and ArcelorMittal Canada Inc. operating as ArcelorMittal Dofasco G.P,Bayfront Facility,1330 Burlington St E,Hamilton,Iron and Steel,Hamilton,OPACITY,Legislation Non-Compliance,2020-12-01,2020-12-31,20, %,6min avg,30,20,100,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Technical Standard requested by the sector,Director's Order Issued; Other Abatement Action Taken; Technical Standard under development,
AV Terrace Bay Inc.,21 Mill Road,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,OPACITY,Approval / Permit Non-Compliance; Legislation Non-Compliance; Technical Non-Compliance,2020-01-01,2020-12-31,20, %,6min avg,360,20,96.7,Action Plan Submitted - Implementing Improvements; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Other; Training/Procedure Change,Other Abatement Action Taken; Voluntary Abatement Program Underway,
AV Terrace Bay Inc.,21 Mill Road,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,TOTAL REDUCED SULFUR,Approval / Permit Non-Compliance; Legislation Non-Compliance; Technical Non-Compliance,2020-05-15,2020-06-04,27,ppb,10min avg,190,27,145,Action Plan Submitted - Implementing Improvements; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Other; Training/Procedure Change,Other Abatement Action Taken; Voluntary Abatement Program Underway,
AV Terrace Bay Inc.,21 Mill Road,21 Mill Rd,Terrace Bay,Pulp and Paper,Thunder Bay,TOTAL REDUCED SULFUR,Approval / Permit Non-Compliance; Legislation Non-Compliance; Technical Non-Compliance,2020-05-15,2020-06-04,27,ppb,10min avg,193,27,162,Action Plan Submitted - Implementing Improvements; Equipment Modified - Repaired - Replaced or Re-calibrated; New Equipment or Treatment Process Installed; Other; Training/Procedure Change,Other Abatement Action Taken; Voluntary Abatement Program Underway,
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,ALUMINUM OXIDE,Legislation Non-Compliance,2020-02-01,2020-02-01,120,mg/m³,24h avg,1,160.6,160.6,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,CHROMIUM,Legislation Non-Compliance,2020-02-01,2020-02-01,0.5,mg/m³,24h avg,1,41.4,41.4,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,CHROMIUM,Legislation Non-Compliance,2020-02-01,2020-02-01,5,mg/m³,24h avg,1,41.4,41.4,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,CHROMIUM,Legislation Non-Compliance,2020-02-01,2020-02-01,0.00014,mg/m³,annual avg,1,0.0008,0.0008,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,IRON OXIDE,Legislation Non-Compliance,2020-02-01,2020-02-01,25,mg/m³,24h avg,1,283.3,283.3,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,LEAD,Legislation Non-Compliance,2020-02-01,2020-02-01,0.5,mg/m³,24h avg,1,0.6,0.6,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,MANGANESE,Legislation Non-Compliance,2020-02-01,2020-02-01,0.4,mg/m³,24h avg,1,3.9,3.9,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,NICKEL,Legislation Non-Compliance,2020-02-01,2020-02-01,0.04,mg/m³,annual avg,1,0.1,0.1,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,NICKEL,Legislation Non-Compliance,2020-02-01,2020-02-01,0.4,mg/m³,annual avg,1,3.9,3.9,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
Black & McDonald Limited,31-35 Pullman Court,31 - 35 Pullman Crt 31-35,Toronto,Miscellaneous Industrial,Toronto,NICKEL,Legislation Non-Compliance,2020-02-01,2020-02-01,2,mg/m³,24h avg,1,30.5,30.5,Action Plan Submitted - Implementing Improvements; Additional Monitoring Underway; Operational Process Modification,Assessment Underway; Voluntary Abatement Program Underway,Based on Air Dispersion Modeling
