Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
Gwillimdale Farms Ltd.,Gwillimdale Farm,2026 Line 11,Bradford West Gwillimbury,Miscellaneous Industrial,Barrie,TOTAL SUSPENDED SOLIDS,Approval / Permit Non-Compliance,11/01/2022,11/30/2022,25,mg/L,mon avg,1,52.3,52.3,Action Plan Submitted - Implementing Improvements,Other Action Taken
Gwillimdale Farms Ltd.,Gwillimdale Farm,2026 Line 11,Bradford West Gwillimbury,Miscellaneous Industrial,Barrie,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,11/01/2022,11/30/2022,1,mg/L,mon avg,1,1.912,1.912,Action Plan Submitted - Implementing Improvements,Other Action Taken
Gwillimdale Farms Ltd.,Gwillimdale Farm,2026 Line 11,Bradford West Gwillimbury,Miscellaneous Industrial,Barrie,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,11/01/2022,11/30/2022,25,mg/L,mon avg,1,99.1,99.1,Action Plan Submitted - Implementing Improvements,Other Action Taken
Gwillimdale Farms Ltd.,Gwillimdale Farm,2026 Line 11,Bradford West Gwillimbury,Miscellaneous Industrial,Barrie,TOTAL SUSPENDED SOLIDS,Approval / Permit Non-Compliance,12/01/2022,12/31/2022,25,mg/L,mon avg,1,88.475,88.475,New/Amended Approval,Voluntary Abatement Program Underway
Gwillimdale Farms Ltd.,Gwillimdale Farm,2026 Line 11,Bradford West Gwillimbury,Miscellaneous Industrial,Barrie,"PHOSPHORUS, TOTAL",Approval / Permit Non-Compliance,12/01/2022,12/31/2022,1,mg/L,mon avg,1,2.8475,2.8475,New/Amended Approval,Voluntary Abatement Program Underway
Gwillimdale Farms Ltd.,Gwillimdale Farm,2026 Line 11,Bradford West Gwillimbury,Miscellaneous Industrial,Barrie,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval / Permit Non-Compliance,12/01/2022,12/31/2022,25,mg/L,mon avg,1,167.825,167.825,New/Amended Approval,Voluntary Abatement Program Underway
REINHART FOODS LIMITED,Reinhart Foods Limited,7446 Highway 26,Clearview,Miscellaneous Industrial,Barrie,TEMPERATURE,Approval / Permit Non-Compliance,05/31/2022,05/31/2022,30.,°C,daily avg,1,30.8,30.8,Equipment Modified/Repaired,Voluntary Abatement Program Underway
REINHART FOODS LIMITED,Reinhart Foods Limited,7446 Highway 26,Clearview,Miscellaneous Industrial,Barrie,TEMPERATURE,Approval / Permit Non-Compliance,06/04/2022,06/04/2022,30.,°C,daily avg,1,30.5,30.5,Equipment Modified/Repaired,Voluntary Abatement Program Underway
REINHART FOODS LIMITED,Reinhart Foods Limited,7446 Highway 26,Clearview,Miscellaneous Industrial,Barrie,TEMPERATURE,Approval / Permit Non-Compliance,07/28/2022,07/28/2022,30.,°C,daily avg,1,31,31,Equipment Modified/Repaired,Voluntary Abatement Program Underway
REINHART FOODS LIMITED,Reinhart Foods Limited,7446 Highway 26,Clearview,Miscellaneous Industrial,Barrie,TEMPERATURE,Approval / Permit Non-Compliance,09/13/2022,09/13/2022,30.,°C,daily avg,1,30.6,30.6,Equipment Modified/Repaired,Voluntary Abatement Program Underway
