Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
"1313304 Alberta ULC, operating as Great Northern Hydroponics",1507 Road 3 East,1507 Road 3 E,Kingsville,Miscellaneous Industrial,Windsor,ZINC,ECA/CofA/Permit Non-Compliance,2021-02-18,2021-06-18,0.1,mg/L,rolling avg,1,0.18,0.18,Additional Monitoring Underway,Assessment Underway
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,ZINC,ECA/CofA/Permit Non-Compliance,2020-12-01,2021-03-31,0.1,mg/L,rolling avg,1,0.43,0.43,Additional Monitoring Underway,Other Abatement Action Taken
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Windsor,NITRATE (AS NITROGEN),ECA/CofA/Permit Non-Compliance,2021-01-01,2021-01-31,20,mg/L,rolling avg,1,22.07,22.07,Action Plan Submitted - Implementing Improvements; Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,"PHOSPHORUS, TOTAL",ECA/CofA/Permit Non-Compliance,2021-01-01,2021-04-30,0.5,mg/L,rolling avg,1,0.852,0.852,Action Plan Submitted - Implementing Improvements,Assessment Underway
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,ZINC,ECA/CofA/Permit Non-Compliance,2021-01-01,2021-04-30,0.1,mg/L,rolling avg,1,0.43625,0.43625,Action Plan Submitted - Implementing Improvements,Assessment Underway
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Windsor,ZINC,ECA/CofA/Permit Non-Compliance,2021-01-01,2021-01-31,0.1,mg/L,rolling avg,1,0.21,0.21,Action Plan Submitted - Implementing Improvements; Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,NITRATE (AS NITROGEN),ECA/CofA/Permit Non-Compliance,2021-02-01,2021-05-31,20,mg/L,rolling avg,1,26.82,26.82,Action Plan Submitted - Implementing Improvements,Assessment Underway
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,"PHOSPHORUS, TOTAL",ECA/CofA/Permit Non-Compliance,2021-02-01,2021-05-31,0.5,mg/L,rolling avg,1,1.29,1.29,Action Plan Submitted - Implementing Improvements,Assessment Underway
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,ZINC,ECA/CofA/Permit Non-Compliance,2021-02-01,2021-05-31,0.1,mg/L,rolling avg,1,0.38,0.38,Action Plan Submitted - Implementing Improvements,Assessment Underway
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,ZINC,ECA/CofA/Permit Non-Compliance,2021-02-01,2021-02-28,0.1,mg/L,rolling avg,1,0.386,0.386,Additional Monitoring Underway,Other Abatement Action Taken
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,NITRATE (AS NITROGEN),ECA/CofA/Permit Non-Compliance,2021-03-01,2021-06-30,20,mg/L,rolling avg,1,45.28,45.28,Action Plan Submitted - Implementing Improvements,Other Abatement Action Taken
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,"PHOSPHORUS, TOTAL",ECA/CofA/Permit Non-Compliance,2021-03-01,2021-06-30,0.5,mg/L,rolling avg,1,1.73,1.73,Action Plan Submitted - Implementing Improvements,Other Abatement Action Taken
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,POTASSIUM,ECA/CofA/Permit Non-Compliance,2021-03-01,2021-06-30,25,mg/L,rolling avg,1,29.39,29.39,Action Plan Submitted - Implementing Improvements,Other Abatement Action Taken
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,ZINC,ECA/CofA/Permit Non-Compliance,2021-03-01,2021-06-30,0.1,mg/L,rolling avg,1,0.223,0.223,Action Plan Submitted - Implementing Improvements,Other Abatement Action Taken
1573903 Ontario Ltd.,Cedar Line Farms Ltd / Cedarline Greenhouse,"11080 Baseline Rd, Dresden",Chatham-Kent,Miscellaneous Industrial,Sarnia,NITRATE (AS NITROGEN),ECA/CofA/Permit Non-Compliance,2021-04-01,2021-07-31,20,mg/L,rolling avg,1,38.98,38.98,Action Plan Submitted - Implementing Improvements,Other Abatement Action Taken
