Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
GREATER SUDBURY,Azilda Water Pollution Control Plant,"564 ST AGNES ST, GREATER SUDBURY, ON P0M 1L0",GREATER SUDBURY,Municipal Sewage,Sudbury District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,09/01/2023,09/30/2023,5,mg/L,mon avg,1,12.74,12.74,Resolved w/o Actions Required,Event Resolved
NIAGARA REGION,Baker Road Wastewater Treatment Plant,"160 LAKE ST N, GRIMSBY, ON L3M 5T3",GRIMSBY,Municipal Sewage,Niagara District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,05/01/2023,05/31/2023,0.5,mg/L,mon avg,1,0.61,0.61,Additional Monitoring Underway,Assessment Underway
NIAGARA REGION,Baker Road Wastewater Treatment Plant,"160 LAKE ST N, GRIMSBY, ON L3M 5T3",GRIMSBY,Municipal Sewage,Niagara District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,08/01/2023,08/31/2023,0.5,mg/L,mon avg,1,0.56,0.56,Additional Monitoring Underway,Voluntary Compliance Underway
NIAGARA REGION,Baker Road Wastewater Treatment Plant,"160 LAKE ST N, GRIMSBY, ON L3M 5T3",GRIMSBY,Municipal Sewage,Niagara District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,10/01/2023,10/31/2023,0.5,mg/L,mon avg,1,0.73,0.73,Additional Monitoring Underway,Assessment Underway
BALLANTRAE GOLF CLUB,Ballantrae Golf Course,"LOT:21,22,23, CONCESSION:8, GEOTOWNSHIP:WHITCHURCH, WHITCHURCH-STOUFFVILLE, ON L4A 1M2",WHITCHURCH-STOUFFVILLE,Miscellaneous Communal,York Durham District Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,05/01/2023,05/31/2023,3.6,mg/L,mon avg,1,4.18,4.18,Equipment Modified - Repaired - Replaced or Re-calibrated,Other Action Taken
BALLANTRAE GOLF CLUB,Ballantrae Golf Course,"LOT:21,22,23, CONCESSION:8, GEOTOWNSHIP:WHITCHURCH, WHITCHURCH-STOUFFVILLE, ON L4A 1M2",WHITCHURCH-STOUFFVILLE,Miscellaneous Communal,York Durham District Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,06/01/2023,06/30/2023,3.6,mg/L,/30 days,1,4.27,4.27,Additional Monitoring Underway,Assessment Underway
BALLANTRAE GOLF CLUB,Ballantrae Golf Course,"LOT:21,22,23, CONCESSION:8, GEOTOWNSHIP:WHITCHURCH, WHITCHURCH-STOUFFVILLE, ON L4A 1M2",WHITCHURCH-STOUFFVILLE,Miscellaneous Communal,York Durham District Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,09/01/2023,09/30/2023,3.6,mg/L,mon avg,1,3.86,3.86,New Equipment or Treatment Process Installed,Event Resolved
BALLANTRAE GOLF CLUB,Ballantrae Golf Course,"LOT:21,22,23, CONCESSION:8, GEOTOWNSHIP:WHITCHURCH, WHITCHURCH-STOUFFVILLE, ON L4A 1M2",WHITCHURCH-STOUFFVILLE,Miscellaneous Communal,York Durham District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,12/01/2023,12/31/2023,1,mg/L,mon avg,1,3.31,3.31,Other,Event Resolved
BALLANTRAE GOLF CLUB,Ballantrae Golf Course,"LOT:21,22,23, CONCESSION:8, GEOTOWNSHIP:WHITCHURCH, WHITCHURCH-STOUFFVILLE, ON L4A 1M2",WHITCHURCH-STOUFFVILLE,Miscellaneous Communal,York Durham District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,12/01/2023,12/31/2023,1.05,kg/d,mon avg,1,1.58,1.58,Other,Event Resolved
MADAWASKA VALLEY,Barry's Bay Water Pollution Control Plant,"117 LAKESHORE DR, BARRY'S BAY, MADAWASKA VALLEY, ON K0J 1B0",MADAWASKA VALLEY,Municipal Sewage,Ottawa District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,04/30/2023,04/30/2023,0.2,mg/L,/mon,1,0.27,0.27,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway
MADAWASKA VALLEY,Barry's Bay Water Pollution Control Plant,"117 LAKESHORE DR, BARRY'S BAY, MADAWASKA VALLEY, ON K0J 1B0",MADAWASKA VALLEY,Municipal Sewage,Ottawa District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,11/01/2023,11/30/2023,0.2,mg/L,mon avg,1,0.25,0.25,Operational Process Modified,Voluntary Compliance Underway
CHAPPLE,Barwick (Hamlet Of) Lagoon,"LOT:46,47, CONCESSION:0, GEOTOWNSHIP:CHAPPLE, CHAPPLE, ON P0W 1A0",CHAPPLE,Municipal Sewage,Kenora Area Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,06/15/2023,06/28/2023,1,mg/L,/season,1,1.27,1.27,Action Plan Submitted,Voluntary Compliance Underway
CHAPPLE,Barwick (Hamlet Of) Lagoon,"LOT:46,47, CONCESSION:0, GEOTOWNSHIP:CHAPPLE, CHAPPLE, ON P0W 1A0",CHAPPLE,Municipal Sewage,Kenora Area Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,06/15/2023,06/28/2023,30,mg/L,/season,1,42.17,42.17,Action Plan Submitted,Voluntary Compliance Underway
CHAPPLE,Barwick (Hamlet Of) Lagoon,"LOT:46,47, CONCESSION:0, GEOTOWNSHIP:CHAPPLE, CHAPPLE, ON P0W 1A0",CHAPPLE,Municipal Sewage,Kenora Area Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,11/23/2023,11/30/2023,1,mg/L,/season,1,2.1,2.1,Operational Process Modified,Voluntary Compliance Underway
BEAVER VALLEY SKI CLUB,BEAVER VALLEY SKI CLUB (CLUBHOUSE),"100 PIONEER DR, GREY HIGHLANDS, ON N0C 1H0",GREY HIGHLANDS,Miscellaneous Communal,Owen Sound District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,01/01/2023,01/31/2023,2.5,mg/L,mon avg,1,44.8,44.8,Ceased Operations,Voluntary Compliance Underway
BEAVER VALLEY SKI CLUB,BEAVER VALLEY SKI CLUB (CLUBHOUSE),"100 PIONEER DR, GREY HIGHLANDS, ON N0C 1H0",GREY HIGHLANDS,Miscellaneous Communal,Owen Sound District Office,BIOCHEMICAL OXYGEN DEMAND,Approval/Permit Non-Compliance,02/01/2023,02/28/2023,15,mg/L,mon avg,1,19,19,Additional Monitoring Underway,Voluntary Compliance Underway
BEAVER VALLEY SKI CLUB,BEAVER VALLEY SKI CLUB (CLUBHOUSE),"100 PIONEER DR, GREY HIGHLANDS, ON N0C 1H0",GREY HIGHLANDS,Miscellaneous Communal,Owen Sound District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,02/01/2023,02/28/2023,2.5,mg/L,mon avg,1,10,10,Additional Monitoring Underway,Voluntary Compliance Underway
BEAVER VALLEY SKI CLUB,BEAVER VALLEY SKI CLUB (CLUBHOUSE),"100 PIONEER DR, GREY HIGHLANDS, ON N0C 1H0",GREY HIGHLANDS,Miscellaneous Communal,Owen Sound District Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,04/01/2023,04/30/2023,15,mg/L,mon avg,1,15.5,15.5,Conducting Study,Assessment Underway
BEAVER VALLEY SKI CLUB,BEAVER VALLEY SKI CLUB (CLUBHOUSE),"100 PIONEER DR, GREY HIGHLANDS, ON N0C 1H0",GREY HIGHLANDS,Miscellaneous Communal,Owen Sound District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,04/01/2023,04/30/2023,0.6,mg/L,mon avg,1,0.77,0.77,Conducting Study,Assessment Underway
BEAVER VALLEY SKI CLUB,BEAVER VALLEY SKI CLUB (CLUBHOUSE),"100 PIONEER DR, GREY HIGHLANDS, ON N0C 1H0",GREY HIGHLANDS,Miscellaneous Communal,Owen Sound District Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,11/01/2023,11/30/2023,15,mg/L,mon avg,1,40,40,Additional Monitoring Underway,Voluntary Compliance Underway
BEAVER VALLEY SKI CLUB,BEAVER VALLEY SKI CLUB (CLUBHOUSE),"100 PIONEER DR, GREY HIGHLANDS, ON N0C 1H0",GREY HIGHLANDS,Miscellaneous Communal,Owen Sound District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,11/01/2023,11/30/2023,0.45,mg/L,mon avg,1,0.93,0.93,Additional Monitoring Underway,Voluntary Compliance Underway
BELLEVILLE,Belleville Water Pollution Control Plant,"131 ST PAUL ST, BELLEVILLE, ON K8N 1B1",BELLEVILLE,Municipal Sewage,Belleville Area Office,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval/Permit Non-Compliance,01/01/2023,12/31/2023,15,mg/L,annual avg,2,15.1,18.63,Additional Monitoring Underway,Addressed w/o Intervention
BELLMERE WINDS GOLF RESORT,Bellmere Winds Golf Resort,"1235 VILLIERS LINE, OTONABEE-SOUTH MONAGHAN, ON K0L 2G0",OTONABEE-SOUTH MONAGHAN,Miscellaneous Communal,Peterborough District Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,10/01/2023,10/31/2023,15,mg/L,mon avg,1,15.7,15.7,Additional Monitoring Underway,Voluntary Compliance Underway
BELLMERE WINDS GOLF RESORT,Bellmere Winds Golf Resort,"1235 VILLIERS LINE, OTONABEE-SOUTH MONAGHAN, ON K0L 2G0",OTONABEE-SOUTH MONAGHAN,Miscellaneous Communal,Peterborough District Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,09/01/2023,09/30/2023,15,mg/L,mon avg,2,16.5,21.7,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway
BELLMERE WINDS GOLF RESORT,Bellmere Winds Golf Resort,"1235 VILLIERS LINE, OTONABEE-SOUTH MONAGHAN, ON K0L 2G0",OTONABEE-SOUTH MONAGHAN,Miscellaneous Communal,Peterborough District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,09/01/2023,09/30/2023,2.5,mg/L,mon avg,2,4.2,5.5,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway
BELLMERE WINDS GOLF RESORT,Bellmere Winds Golf Resort,"1235 VILLIERS LINE, OTONABEE-SOUTH MONAGHAN, ON K0L 2G0",OTONABEE-SOUTH MONAGHAN,Miscellaneous Communal,Peterborough District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,08/01/2023,08/31/2023,2.5,mg/L,mon avg,2,3.7,4.7,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway
BELLMERE WINDS GOLF RESORT,Bellmere Winds Golf Resort,"1235 VILLIERS LINE, OTONABEE-SOUTH MONAGHAN, ON K0L 2G0",OTONABEE-SOUTH MONAGHAN,Miscellaneous Communal,Peterborough District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,07/01/2023,07/31/2023,2.5,mg/L,mon avg,2,3.8,4.5,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway
AMHERSTBURG,Big Creek Marsh Sewage Treatment Plant,"187 LAKESIDE DR, AMHERSTBURG, ON N0R 1G0",Amherstburg,Municipal Sewage,Windsor Area Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,05/01/2023,05/31/2023,1.5,mg/L,/mon,1,2.72,2.72,Other,Addressed w/o Intervention
BIGWIN ISLAND GOLF CLUB,Bigwin Island Golf Club,"1137 HIGHWAY 117, LAKE OF BAYS, ON P0B 1A0",LAKE OF BAYS,Miscellaneous Communal,Barrie District Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,05/01/2023,05/31/2023,10,mg/L,/mon,1,11,11,Additional Monitoring Underway,Assessment Underway
BIGWIN ISLAND GOLF CLUB,Bigwin Island Golf Club,"1137 HIGHWAY 117, LAKE OF BAYS, ON P0B 1A0",LAKE OF BAYS,Miscellaneous Communal,Barrie District Office,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Legislation Non-Compliance,06/01/2023,06/30/2023,10,mg/L,mon avg,1,42,42,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway
BIGWIN ISLAND GOLF CLUB,Bigwin Island Golf Club,"1137 HIGHWAY 117, LAKE OF BAYS, ON P0B 1A0",LAKE OF BAYS,Miscellaneous Communal,Barrie District Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,06/01/2023,06/30/2023,10,mg/L,mon avg,1,25,25,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Underway
CHATHAM-KENT PUBLIC UTILITIES COMMISSION,Blenheim Lagoon,"19818 LAGOON RD, BLENHEIM, CHATHAM-KENT, ON N0P 1A0",CHATHAM-KENT,Municipal Sewage,Windsor Area Office,ESCHERICHIA COLI,Approval/Permit Non-Compliance,07/01/2023,07/31/2023,200,CT/100mL,mon avg on a geo. mean density,1,331,331,Other,Voluntary Compliance Underway
CHATHAM-KENT PUBLIC UTILITIES COMMISSION,Blenheim Lagoon,"19818 LAGOON RD, BLENHEIM, CHATHAM-KENT, ON N0P 1A0",CHATHAM-KENT,Municipal Sewage,Windsor Area Office,ESCHERICHIA COLI,Approval/Permit Non-Compliance,09/01/2023,09/30/2023,200,CT/100mL,mon avg on a geo. mean density,1,312,312,Other,Voluntary Compliance Underway
CHATHAM-KENT PUBLIC UTILITIES COMMISSION,Blenheim Lagoon,"19818 LAGOON RD, BLENHEIM, CHATHAM-KENT, ON N0P 1A0",CHATHAM-KENT,Municipal Sewage,Windsor Area Office,PH - HIGH,Approval/Permit Non-Compliance,10/01/2023,10/31/2023,9.5,PH,/mon,1,10.02,10.02,Other,Voluntary Compliance Underway
NORTH HURON,Blyth Water Pollution Control Plant,"117 NORTH ST, NORTH HURON, ON N0M 1L0",Huron,Municipal Sewage,Owen Sound District Office,ESCHERICHIA COLI,Approval/Permit Non-Compliance,05/01/2023,05/31/2023,200,CT/100mL,mon avg on a geo. mean density,1,401,401,Operational Process Modified,Addressed w/o Intervention
TIMMINS,Bob's Lake Lagoon,"300 IDA ST, TIMMINS, ON ",TIMMINS,Municipal Sewage,Timmins District Office,"SUSPENDED SOLIDS, TOTAL",Policy/Guidance/ Non-Conf.,01/01/2023,12/31/2023,25,mg/L,annual avg,1,30.25,30.25,None Required,Voluntary Compliance Underway
BOUNDARY ROAD DEVELOPMENT INC.,Boundary Road Distribution Centre,"5225 BOUNDARY RD, OTTAWA, ON K4B 1P6",OTTAWA,Miscellaneous Communal,Ottawa District Office,PH - LOW,Approval/Permit Non-Compliance,01/30/2023,01/30/2023,6,pH,/week,1,5.7,5.7,Resolved w/o Actions Required,Addressed w/o Intervention
BOUNDARY ROAD DEVELOPMENT INC.,Boundary Road Distribution Centre,"5225 BOUNDARY RD, OTTAWA, ON K4B 1P6",OTTAWA,Miscellaneous Communal,Ottawa District Office,PH - LOW,Approval/Permit Non-Compliance,01/30/2023,02/01/2023,6,pH,/mon,1,5.7,5.7,Operational Process Modified,Addressed w/o Intervention
BOUNDARY ROAD DEVELOPMENT INC.,Boundary Road Distribution Centre,"5225 BOUNDARY RD, OTTAWA, ON K4B 1P6",OTTAWA,Miscellaneous Communal,Ottawa District Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,11/01/2023,11/30/2023,0.1,mg/L,/mon,1,0.146,0.146,Resolved w/o Actions Required,Addressed w/o Intervention
MUSKOKA DISTRICT,Bracebridge Clean Water Plant,"1000 LAGOON LANE, BRACEBRIDGE, ON P1L 0A1",BRACEBRIDGE,Municipal Sewage,Barrie District Office,PH - LOW,Approval/Permit Non-Compliance,01/09/2023,01/09/2023,6,pH,any,1,4.65,4.65,Equipment Modified - Repaired - Replaced or Re-calibrated,Addressed w/o Intervention
BRIGHTON,Brighton Water Pollution Control Plant,"100 COUNTY RD 64, BRIGHTON, ON K0K 1H0",BRIGHTON,Municipal Sewage,Peterborough District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,12/01/2023,12/31/2023,17,mg/L,mon avg,1,17.9,17.9,Action Plan Submitted,Voluntary Compliance Underway
BRIGHTON,Brighton Water Pollution Control Plant,"100 COUNTY RD 64, BRIGHTON, ON K0K 1H0",BRIGHTON,Municipal Sewage,Peterborough District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,05/01/2023,05/31/2023,14,mg/L,/mon,1,16.2,16.2,Conducting Study,Voluntary Compliance Underway
