Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère
ALBUNA EXPRESS LTD.,Albuna Express Ltd.,"306 COUNTY RD 18, LEAMINGTON, ON N8H 3V5",Leamington,Miscellaneous Communal,Windsor Area Office,PHOSPHORUS; TOTAL,Approval/Permit Non-Compliance,03/01/2023,10/31/2023,0.6,mg/L,rolling avg,3,0.9,2.9,Operational Process Modified,Addressed w/o Intervention
ALFRED AND PLANTAGENET,Alfred Lagoon,"LOT:11, CONCESSION:7, GEOTOWNSHIP:ALFRED, ALFRED AND PLANTAGENET, ON ",ALFRED AND PLANTAGENET,Municipal Sewage,Cornwall Area Office,"SUSPENDED SOLIDS, TOTAL",Site-Specific Standard,04/24/2023,06/01/2023,25,mg/L,annual avg,1,28.9,28.9,Resolved w/o Actions Required,Addressed w/o Intervention
"His Majesty the King in Right of Ontario as Represented by the Minister of the Ministry of the Environment, Conservation and Parks",Algonquin Provincial Park - Canoe Lake Campground ,"Lot 20, Concession 9, Highway 60 Corridor
Unorganized Township of Peck, District of Nipissing",PECK,Miscellaneous Communal,North Bay Area Office,Flow,Approval/Permit Non-Compliance,08/01/2023,08/02/2023,107,m3,/day,1,234.5,234.5,Action Plan Submitted,Voluntary Compliance Underway
NEW TECUMSETH,Alliston Water Pollution Control Plant,"4982 SIR FREDERICK BANTING RD, NEW TECUMSETH, ON L9R 1K1",NEW TECUMSETH,Municipal Sewage,Barrie District Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,01/01/2023,01/31/2023,15,mg/L,mon avg,1,15.3,15.3,Equipment Modified - Repaired - Replaced or Re-calibrated,Event Resolved
NEW TECUMSETH,Alliston Water Pollution Control Plant,"4982 SIR FREDERICK BANTING RD, NEW TECUMSETH, ON L9R 1K1",NEW TECUMSETH,Municipal Sewage,Barrie District Office,ESCHERICHIA COLI,Approval/Permit Non-Compliance,07/01/2023,07/31/2023,100,CT/100mL,mon avg on a geo. mean density,1,113.4,113.4,New Equipment or Treatment Process Installed,Event Resolved
LOYALIST,Amherstview Water Pollution Control Plant,"4326 TAYLOR KIDD BLVD, LOYALIST, ON K0H 1G0",LOYALIST,Municipal Sewage,Kingston District Office,ESCHERICHIA COLI,Approval/Permit Non-Compliance,07/01/2023,07/31/2023,100,CT/100mL,mon avg on a geo. mean density,1,1010,1010,Other,Addressed w/o Intervention
LOYALIST,Amherstview Water Pollution Control Plant,"4326 TAYLOR KIDD BLVD, LOYALIST, ON K0H 1G0",LOYALIST,Municipal Sewage,Kingston District Office,ESCHERICHIA COLI,Approval/Permit Non-Compliance,06/01/2023,06/30/2023,200,CT/100mL,mon avg on a geo. mean density,1,298,298,Additional Monitoring Underway,Addressed w/o Intervention
ESSA,Angus Water Pollution Control Plant,"143 CENTRE ST, ANGUS, ESSA, ON L0M 1B0",ESSA,Municipal Sewage,Barrie District Office,"SUSPENDED SOLIDS, TOTAL",Approval/Permit Non-Compliance,03/01/2023,03/31/2023,10,mg/L,mon avg,1,10.63,10.63,New Equipment or Treatment Process Installed,Event Resolved
ESSA,Angus Water Pollution Control Plant,"143 CENTRE ST, ANGUS, ESSA, ON L0M 1B0",ESSA,Municipal Sewage,Barrie District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,06/01/2023,06/30/2023,3.3,kg/d,mon avg,1,4.73,4.73,Other,Event Resolved
ESSA,Angus Water Pollution Control Plant,"143 CENTRE ST, ANGUS, ESSA, ON L0M 1B0",ESSA,Municipal Sewage,Barrie District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,06/01/2023,06/30/2023,0.6,mg/L,mon avg,1,1.28,1.28,Other,Event Resolved
APHRIADIAMOND,AphriaDiamond Greenhouse,"620 COUNTY RD 14, LEAMINGTON, ON ",Leamington,Miscellaneous Communal,Windsor Area Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,04/01/2023,07/31/2023,3,mg/L,rolling avg,11,3.2,5.5,Operational Process Modified,Addressed w/o Intervention
JACOBS,Arkona Water Pollution Control Plant,"7580 ARKONA RD, LAMBTON SHORES, ON N0M 2N0",LAMBTON SHORES,Municipal Sewage,Sarnia District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,10/01/2023,10/31/2023,1.24,kg/d,avg. mon loading,1,2,2,Operational Process Modified,Event Resolved
JACOBS,Arkona Water Pollution Control Plant,"7580 ARKONA RD, LAMBTON SHORES, ON N0M 2N0",LAMBTON SHORES,Municipal Sewage,Sarnia District Office,TOTAL AMMONIA NITROGEN,Legislation Non-Compliance,10/01/2023,10/31/2023,2,mg/L,mon avg,1,12.34,12.34,Operational Process Modified,Event Resolved
JACOBS,Arkona Water Pollution Control Plant,"7580 ARKONA RD, LAMBTON SHORES, ON N0M 2N0",LAMBTON SHORES,Municipal Sewage,Sarnia District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,10/26/2023,10/26/2023,4,mg/L,any,1,24.5,24.5,Operational Process Modified,Event Resolved
ANOKIIGAMIG CONSTRUCTION LP,Atkinson Road Camp,"LOT S 1/2 LT 11, CONCESSION 5, CHAPPLE, ON ",CHAPPLE,Miscellaneous Communal,Kenora Area Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,01/25/2023,01/25/2023,10,mg/L,/mon,1,12.5,12.5,Additional Monitoring Underway,Voluntary Compliance Underway
ANOKIIGAMIG CONSTRUCTION LP,Atkinson Road Camp,"LOT S 1/2 LT 11, CONCESSION 5, CHAPPLE, ON ",CHAPPLE,Miscellaneous Communal,Kenora Area Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,02/15/2023,02/15/2023,10,mg/L,/mon,1,13,13,Additional Monitoring Underway,Voluntary Compliance Underway
ANOKIIGAMIG CONSTRUCTION LP,Atkinson Road Camp,"LOT S 1/2 LT 11, CONCESSION 5, CHAPPLE, ON ",CHAPPLE,Miscellaneous Communal,Kenora Area Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,07/26/2023,07/26/2023,1,mg/L,/mon,1,1.66,1.66,Additional Monitoring Underway,Voluntary Compliance Underway
ANOKIIGAMIG CONSTRUCTION LP,Atkinson Road Camp,"LOT S 1/2 LT 11, CONCESSION 5, CHAPPLE, ON ",CHAPPLE,Miscellaneous Communal,Kenora Area Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,07/26/2023,07/26/2023,10,mg/L,/mon,1,13.8,13.8,Additional Monitoring Underway,Voluntary Compliance Underway
ANOKIIGAMIG CONSTRUCTION LP,Atkinson Road Camp,"LOT S 1/2 LT 11, CONCESSION 5, CHAPPLE, ON ",CHAPPLE,Miscellaneous Communal,Kenora Area Office,NITROGEN; TOTAL,Approval/Permit Non-Compliance,12/13/2023,12/13/2023,10,mg/L,/mon,1,11.9,11.9,Additional Monitoring Underway,Voluntary Compliance Underway
THUNDER BAY,Atlantic Avenue Water Pollution Control Plant,"901 ATLANTIC AVE, THUNDER BAY, ON P7C 2T3",THUNDER BAY,Municipal Sewage,Thunder Bay District Office,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval/Permit Non-Compliance,10/01/2023,10/31/2023,25,mg/L,mon avg,1,42.8,42.8,Equipment Modified - Repaired - Replaced or Re-calibrated,Addressed w/o Intervention
THUNDER BAY,Atlantic Avenue Water Pollution Control Plant,"901 ATLANTIC AVE, THUNDER BAY, ON P7C 2T3",THUNDER BAY,Municipal Sewage,Thunder Bay District Office,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval/Permit Non-Compliance,11/01/2023,11/30/2023,25,mg/L,mon avg,1,26.1,26.1,Equipment Modified - Repaired - Replaced or Re-calibrated,Addressed w/o Intervention
AYLMER,Aylmer Lagoon,"9853 ROGERS RD, AYLMER, ON N5H 2R6",AYLMER,Municipal Sewage,London District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,04/04/2023,04/04/2023,1.2,mg/L,any,1,4,4,Conducting Study,Voluntary Compliance Underway
AYLMER,Aylmer Lagoon,"9853 ROGERS RD, AYLMER, ON N5H 2R6",AYLMER,Municipal Sewage,London District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,04/12/2023,04/12/2023,1.2,mg/L,any,1,7.2,7.2,Conducting Study,Voluntary Compliance Underway
AYLMER,Aylmer Lagoon,"9853 ROGERS RD, AYLMER, ON N5H 2R6",AYLMER,Municipal Sewage,London District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,04/18/2023,04/18/2023,1.2,mg/L,any,1,6.9,6.9,Conducting Study,Voluntary Compliance Underway
AYLMER,Aylmer Lagoon,"9853 ROGERS RD, AYLMER, ON N5H 2R6",AYLMER,Municipal Sewage,London District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,04/25/2023,04/25/2023,1.2,mg/L,any,1,4.9,4.9,Conducting Study,Voluntary Compliance Underway
AYLMER,Aylmer Lagoon,"9853 ROGERS RD, AYLMER, ON N5H 2R6",AYLMER,Municipal Sewage,London District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,11/02/2023,11/02/2023,0.9,mg/L,any,1,1,1,Conducting Study,Voluntary Compliance Underway
AYLMER,Aylmer Lagoon,"9853 ROGERS RD, AYLMER, ON N5H 2R6",AYLMER,Municipal Sewage,London District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,11/07/2023,11/07/2023,0.9,mg/L,any,1,1,1,Conducting Study,Voluntary Compliance Underway
GREATER SUDBURY,Azilda Water Pollution Control Plant,"564 ST AGNES ST, GREATER SUDBURY, ON P0M 1L0",GREATER SUDBURY,Municipal Sewage,Sudbury District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,01/01/2023,01/31/2023,5,mg/L,mon avg,1,7.16,7.16,Operational Process Modified,Voluntary Compliance Underway
GREATER SUDBURY,Azilda Water Pollution Control Plant,"564 ST AGNES ST, GREATER SUDBURY, ON P0M 1L0",GREATER SUDBURY,Municipal Sewage,Sudbury District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,03/01/2023,03/31/2023,5,mg/L,mon avg,1,6.86,6.86,Operational Process Modified,Event Resolved
GREATER SUDBURY,Azilda Water Pollution Control Plant,"564 ST AGNES ST, GREATER SUDBURY, ON P0M 1L0",GREATER SUDBURY,Municipal Sewage,Sudbury District Office,TOTAL AMMONIA NITROGEN,Approval/Permit Non-Compliance,06/01/2023,06/30/2023,5,mg/L,mon avg,1,7.74,7.74,Resolved w/o Actions Required,Assessment Underway
