Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère,Modélisation de la dispersion atmosphérique
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,08/01/2023,08/31/2023,20,%,6 min avg,31,20.1,100,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,09/01/2023,09/30/2023,20,%,6 min avg,30,20.1,100,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,10/01/2023,10/31/2023,20,%,6 min avg,31,20.1,100,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,11/01/2023,11/30/2023,20,%,6 min avg,30,20.1,10,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,12/01/2023,12/31/2023,20,%,6 min avg,31,20.1,100,Other,Other Action Taken,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,VISIBLE EMISSION,Approval/Permit Non-Compliance,01/01/2023,08/09/2023,4,%,30 day rolling avg,163,4,8.3,Action Plan Submitted - Implementing Improvements ,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,01/01/2023,01/31/2023,20,%,6 min avg,31,21,53,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,02/01/2023,02/28/2023,20,%,6 min avg,28,21,62,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,03/01/2023,03/31/2023,20,%,6 min avg,31,21,62,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,04/01/2023,04/30/2023,20,%,6 min avg,30,21,50,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,VISIBLE EMISSION,Approval/Permit Non-Compliance,04/03/2023,05/25/2023,12,seconds,30 day rolling avg,10,12.1,12.4,Action Plan Submitted - Implementing Improvements ,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,05/01/2023,05/31/2023,20,%,6 min avg,31,21,62,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,06/01/2023,06/30/2023,20,%,6 min avg,30,21,57,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,07/01/2023,07/31/2023,20,%,6 min avg,31,21,52,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,08/01/2023,08/31/2023,20,%,6 min avg,31,21,71,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,09/01/2023,09/30/2023,20,%,6 min avg,30,21,54,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,10/01/2023,10/31/2023,20,%,6 min avg,31,21,57,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,11/01/2023,11/30/2023,20,%,6 min avg,30,21,66,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,OPACITY,Legislation Non-Compliance,12/01/2023,12/31/2023,20,%,6 min avg,31,21,61,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,MANGANESE,Legislation Non-Compliance,07/01/2023,12/31/2023,0.4,µg/m³,24 hr,1,1.05,1.05,other,Other Action Taken, Based on Air Dispersion Modeling  
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,SULPHUR DIOXIDE,Legislation Non-Compliance,07/01/2023,12/31/2023,100,µg/m³,/annum,1,612,612,other,Other Action Taken, Based on Air Dispersion Modeling  
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,BENZENE,Legislation Non-Compliance,07/01/2023,01/12/2023,0.45,µg/m³,/annum,1,7.17,7.17,other,Other Action Taken, Based on Air Dispersion Modeling  
ARCELORMITTAL CANADA INC.,ArcelorMittal Dofasco - 1330 BURLINGTON ST E,"1330 BURLINGTON ST E, HAMILTON, ON L8N 3J5",HAMILTON,Iron and Steel,Hamilton District Office,BENZO(A)PYRENE,Legislation Non-Compliance,07/01/2023,01/12/2023,0.00001,µg/m³,/annum,1,0.0106,0.0106,other,Other Action Taken, Based on Air Dispersion Modeling  
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,01/01/2023,01/01/2023,20, %,6 min avg,31,32,88.93,Operational Process Modified,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,01/02/2023,01/02/2023,20, %,6 min avg,5,26,84,None Required,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,02/11/2023,02/11/2023,20, %,6 min avg,12,52,62,None Required,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,02/13/2023,02/13/2023,20, %,6 min avg,4,36,76,None Required,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,02/28/2023,02/28/2023,20, %,6 min avg,2,31,62,Ceased Operations,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,02/28/2023,05/11/2023,27, ppb,10 min avg,4,28,38,Ceased Operations,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,02/28/2023,02/28/2023,27,ppb,10 min avg,1,38,38,Conducting Study,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,03/01/2023,03/01/2023,20, %,6 min avg,5,20.1,45,Ceased Operations,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Legislation Non-Compliance,03/14/2023,03/14/2023,20, %,6 min avg,2,20.1,55,None Required,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,03/23/2023,03/23/2023,20, %,6 min avg,2,24,83,Ceased Operations,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,04/01/2023,04/01/2023,20, %,6 min avg,38,39,59,None Required,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,04/18/2023,04/18/2023,20, %,6 min avg,4,29,63,None Required,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,04/21/2023,04/21/2023,20, %,6 min avg,2,21,92,Conducting Study,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,04/25/2023,04/25/2023,20,%,6 min avg,2,20.5,93,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,05/10/2023,05/12/2023,20, %,6 min avg,2,21,33,Ceased Operations,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,05/10/2023,05/10/2023,20, %,6 min avg,2,33,21,Ceased Operations,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,05/17/2023,05/17/2023,20, %,6 min avg,3,45,61,Ceased Operations,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,05/21/2023,05/21/2023,20, %,6 min avg,4,20.1,70,Operational Process Modified,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,05/24/2023,05/25/2023,27, ppb,10 min avg,29,28,56,Ceased Operations,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,05/26/2023,05/26/2023,27, ppb,10 min avg,8,28,51,Conducting Study,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,05/27/2023,05/28/2023,27, ppb,10 min avg,11,29,72,Equipment Modified - Repaired - Replaced or Re-calibrated,Ticket Issued,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,05/31/2023,05/31/2023,20, %,6 min avg,2,25.8,42.8,Ceased Operations,Assessment Complete - Incident Resolved,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,06/04/2023,06/04/2023,27, ppb,10 min avg,2,28,30,None Required,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,06/05/2023,06/05/2023,20, %,6 min avg,2,31,59,Ceased Operations,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,06/22/2023,06/22/2023,20, %,6 min avg,4,20.1,35,None Required,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,06/22/2023,06/22/2023,20,%,6 min avg,1,46,46,Operational Process Modified,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,06/29/2023,06/29/2023,20, %,6 min avg,3,28,38,Ceased Operations,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,07/02/2023,07/02/2023,20,%,6 min avg,1,40,40,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,07/18/2023,07/19/2023,27, ppb,10 min avg,10,32,77,Additional Monitoring Underway,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,07/21/2023,07/21/2023,27,ppb,10 min avg,1,31,31,Conducting Study,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,08/07/2023,08/08/2023,27, ppb,10 min avg,4,29,36,Conducting Study,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,08/07/2023,08/08/2023,27, ppb,10 min avg,2,29,41,Conducting Study,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,08/17/2023,08/17/2023,20, %,6 min avg,3,21.3,48.7,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,08/18/2023,08/18/2023,20,%,6 min avg,1,48,48,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,08/25/2023,08/25/2023,20, %,6 min avg,6,20.7,43.9,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,08/30/2023,08/30/2023,27,ppb,10 min avg,1,37,37,None Required,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,08/31/2023,08/31/2023,20, %,6 min avg,2,30,93,Operational Process Modified,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,09/01/2023,09/01/2023,20,%,6 min avg,1,28.5,28.5,None Required,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,09/03/2023,09/03/2023,20, %,6 min avg,2,36,83,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,09/08/2023,09/08/2023,20,%,6 min avg,1,32.9,32.9,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - Incident Resolved,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,09/09/2023,09/09/2023,20, %,6 min avg,6,26.53,55.24,Operational Process Modified,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,09/29/2023,09/29/2023,20, %,6 min avg,2,48,65.73,None Required,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,10/05/2023,10/05/2023,20,%,6 min avg,1,61.88,61.88,Operational Process Modified,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,10/05/2023,10/05/2023,20, %,6 min avg,19,21,61.9,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,10/08/2023,10/08/2023,27, ppb,10 min avg,2,35,59,Conducting Study,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,TOTAL REDUCED SULPHUR,Approval/Permit Non-Compliance,10/10/2023,10/10/2023,27, ppb,10 min avg,7,28,37,Conducting Study,Assessment Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,10/19/2023,10/19/2023,20,%,6 min avg,1,53.29,53.29,Operational Process Modified,Voluntary Compliance Underway,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,10/27/2023,10/27/2023,20,%,6 min avg,1,38.3,38.3,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,11/21/2023,11/21/2023,20, %,6 min avg,2,36,48,Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No action required,
AV TERRACE BAY,AV Terrace Bay,"21 MILL RD, TERRACE BAY, ON P0T 2W0",TERRACE BAY,pulp and paper,Thunder Bay District Office,OPACITY,Approval/Permit Non-Compliance,11/27/2023,11/27/2023,20,%,6 min avg,1,40,40,Additional Monitoring Underway,Assessment Complete - Incident Resolved,
