Propriétaire de l’installation,Nom du site,Adresse du site,Municipalité du site,Secteur,District,Contaminant,Type de dépassement,Date du début du dépassement,Date de la fin du dépassement,Limite du contaminant,Unité du contaminant,Fréquence de la limite,Nombre de dépassements,Minimum de la quantité,Maximum de la quantité,Mesure prise par l’installation,Mesure prise par le ministère,Modélisation de la dispersion atmosphérique
3M CANADA,3M Perth,"2 CRAIG ST, PERTH, ON K0G 1A0",PERTH,Miscellaneous Industrial,Ottawa District Office,ORGANIC MATTER,Approval/Permit Non-Compliance,01/26/2023,01/26/2023,100,ppm,10 min avg,5,101,129,Equipment Modified - Repaired - Replaced or Re-calibrated,Voluntary Compliance Underway,
AEVITAS,Aevitas Inc (2425 Industrial Park),"2425 INDUSTRIAL PARK DR, CORNWALL, ON K6H 7M4",CORNWALL,Miscellaneous Industrial,Cornwall Area Office,CARBON MONOXIDE,Approval/Permit Non-Compliance,08/01/2023,08/31/2023,15,ppm,/mon,5,15.6,112.8,Operational Process Modified,Assessment Complete - No action required,
AEVITAS,Aevitas Inc (2425 Industrial Park),"2425 INDUSTRIAL PARK DR, CORNWALL, ON K6H 7M4",CORNWALL,Miscellaneous Industrial,Cornwall Area Office,TEMPERATURE,Approval/Permit Non-Compliance,01/19/2023,01/19/2023,"1,200",°C,any,2,"1,133","1,133",Equipment Modified - Repaired - Replaced or Re-calibrated,Assessment Complete - No action required,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,01/01/2023,01/31/2023,20,%,6 min avg,31,20.1,100,Action Plan Submitted - Implementing Improvements ,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,02/01/2023,02/28/2023,20,%,6 min avg,28,20.1,100,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,03/01/2023,03/31/2023,20,%,6 min avg,31,20.1,100,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,04/01/2023,04/30/2023,20,%,6 min avg,30,20.1,100,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,05/01/2023,05/31/2023,20,%,6 min avg,31,20.1,100,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,06/01/2023,06/30/2023,20,%,6 min avg,30,20.1,100,Other,Other Action Taken,
ALGOMA STEEL INC.,ALGOMA STEEL INC.,"105 WEST ST, SAULT STE. MARIE, ON P6A 7B4",SAULT STE. MARIE,Iron and Steel,Sault Ste. Marie Area Office,OPACITY,Legislation Non-Compliance,07/01/2023,07/31/2023,20,%,6 min avg,31,20.1,100,Other,Other Action Taken,
