ID,Name,Sector,From Municipality,To Municipality,Location,Geometry,Cost,Stage,Schedule,Website,Related Links,Developer,Recently Added,Construction Contractor,Image Filename,Image Source,Details
2207,Okotoks Operations Centre,Infrastructure,Okotoks,,"(50.7178001403809, -113.953796386719)",,$17000000.00,Announced,2015 - 2016,,"[{""url"":""http://www.westernwheel.com/article/20140319/WHE0801/303199988/province-gives-12-million-for-operations-centre-expansion"",""text"":""Mar 19, 2014 - Western Wheel""}]",Town of Okotoks,false,Giffels Westpro,https://farm9.staticflickr.com/8704/16816458430_83eaeacaa5_b.jpg,"Okotoks Operations Centre, courtesy of the Town of Okotoks.",Planned construction to start spring 2015.
2209,Medicine Tree Manor Addition and Renovation,Institutional,High River,,"(50.576000213623, -113.88500213623)",,$9900000.00,Announced,2015 - 2017,,"[{""url"":""http://alberta.ca/release.cfm?xID=362889AC5934E-DFA5-D5AF-DE2D622C92DF2D76"",""text"":""Apr 28, 2014 - Alberta.ca""}]",Foothills Foundation,false,,,,"Includes the demolition of Medicine Tree Manor, to be replaced by 40 larger-sized lodge units. Proposals due March 19th."
2210,Eight Affordable Housing Apartment Buildings,Residential,Calgary,,"(51.0390014648438, -114.093002319336)",,$37000000.00,Announced,,http://calgaryhomeless.com/stepping-stone-manor-is-building-up-2/,,Calgary Homeless Foundation,false,,https://farm8.staticflickr.com/7600/16611244899_14f5f3505f_b.jpg,"Stepping Stone Manor of the Eight Affordable Housing Apartment Buildings, courtesy of the Calgary Homeless Foundation.",Includes eight 30-unit apartment buildings at $4.65 million per building. Buliding 1 will be called Stepping Stone Manor.
2211,Stoney Trail Widening,Infrastructure,Calgary,Calgary,,"{ ""type"": ""LineString"", ""coordinates"": [ [ -114.18618898196399, 51.011221173595303, 0.0 ], [ -114.176337486093, 51.009406958729897, 0.0 ], [ -114.170123461134, 51.007823867146399, 0.0 ], [ -114.166047668697, 51.005273065691497, 0.0 ], [ -114.16538240589399, 51.0013201734712, 0.0 ], [ -114.167004549927, 50.996496617002499, 0.0 ], [ -114.167548371637, 50.992557624301099, 0.0 ], [ -114.166702765789, 50.989252913738802, 0.0 ], [ -114.16530603843, 50.985062545624302, 0.0 ], [ -114.159177740798, 50.978051259833101, 0.0 ], [ -114.14764085480699, 50.965194166347899, 0.0 ], [ -114.14335619041, 50.958195454067599, 0.0 ], [ -114.1416474009, 50.954673789910501, 0.0 ], [ -114.14130848510401, 50.949587319894597, 0.0 ], [ -114.141612456552, 50.930896598723699, 0.0 ], [ -114.14129376123999, 50.927668231930099, 0.0 ], [ -114.139928931691, 50.924726788863097, 0.0 ], [ -114.135355474408, 50.921650286547298, 0.0 ], [ -114.131450823946, 50.918156311031403, 0.0 ], [ -114.130034666754, 50.9130080116581, 0.0 ], [ -114.129355916311, 50.903802772522504, 0.0 ], [ -114.12902905708199, 50.898402006119703, 0.0 ], [ -114.12833366763699, 50.896306581850702, 0.0 ], [ -114.125430962149, 50.894426885255697, 0.0 ], [ -114.121409540293, 50.893467694898902, 0.0 ], [ -114.11148284936399, 50.894089308317902, 0.0 ], [ -114.09789763842601, 50.893985117797897, 0.0 ], [ -114.089303061306, 50.893759314548703, 0.0 ], [ -114.08176147811, 50.892983336250097, 0.0 ], [ -114.07572414023601, 50.892577240341197, 0.0 ], [ -114.067223057997, 50.892569363801897, 0.0 ], [ -114.054224033488, 50.892710456463703, 0.0 ] ] }",$10400000.00,Announced,,,,Alberta Transportation,false,,,,Stoney Trail widening between Highway 1A (Crowchild Tr) and Highway 2 (Deerfoot Tr)
2213,Royal Vista Emergency Response Station,Infrastructure,Calgary,,"(51.1409378051758, -114.216850280762)",,$12100000.00,Under Construction,2015 - 2016,,,City of Calgary,false,Bird Construction,,,
2214,EPL Capilano Branch Relocation,Institutional,Edmonton,,"(53.5401725769043, -113.432601928711)",,$11800000.00,Announced,2015 - 2017,,,City of Edmonton,false,,,,Tentative timeline for tender is October 2015.
2215,Integrated RCMP Detachment,Infrastructure,Spruce Grove,,"(53.544361114502, -113.934608459473)",,$25000000.00,Announced,2015 - 2017,,"[{""url"":""http://www.sprucegroveexaminer.com/2014/12/02/rcmp-facility-integrating-the-region"",""text"":""Dec 2, 2014 - Spruce Grove Examiner""}]",City of Spruce Grove / Town of Stony Plain,false,,,,"The facility will house police officers from Spruce Grove and Stoney Plain, along with provincial and RCMP officers."
2217,Vanier Woods Apartment Complex,Residential,Red Deer,,"(52.2344055175781, -113.759254455566)",,$25000000.00,Under Construction,2014 - 2015,,,Highstreet Ventures Inc.,false,,,,"A four-storey, 232 unit, wood construction apartment built atop parkades."
2219,L'Attitude Condos Building C,Residential,Edmonton,,"(53.4328765869141, -113.609161376953)",,$12000000.00,Under Construction,2013 - 2014,http://carrington.ca/condos/communities/lattitude-studios-bldg-a/,"[{""url"":""http://www.edmontonsun.com/2014/04/14/lattitude-studios-brings-touch-of-class"",""text"":""Apr 14, 2014 - Edmonton Sun""}]",Carrington Communities,false,,,,A four-storey Condominium with 89-units in building C.
2227,I.D. Inglewood,Residential,Calgary,,"(51.0382537841797, -114.026275634766)",,$5500000.00,Under Construction,2014 - 2015,http://id-inglewood.ca/,"[{""url"":""http://www.calgaryherald.com/business/Inglewood+condo+project+takes+notes+from+neighbourhood/10359849/story.html"",""text"":""Nov 5, 2014 - Calgary Herald""}]",Sarina Developments,false,,https://farm8.staticflickr.com/7642/16734606729_48165ce79a_b.jpg,"I.D. Ingelwood, courtesy of Sarina Developments.","Residential/commercial development, with 7000 sq ft of retail space on the ground floor and 19  condo units on the second, third and fourth floors."
